ENCODED_URL,BAD_SRC_COUNT
https://cdn.shopify.com/s/files/1/0928/2086/5388/files/Botines-_2.gif?v=1764879453,1
https://cdn.shopify.com/s/files/1/0928/2086/5388/files/PORTADA_1_43ded581-6ef1-404d-bff0-360c7fb3d32b.png?v=1764879289,1
https://cdn.shopify.com/s/files/1/0928/2086/5388/files/Capa_1.svg?v=1762895701,15
