LINK_TYPE,SCOPE,ORIGIN,PATH_TYPE,ELEMENT_PATH,SRC_ID,DST_ID,ELEMENT_POSITION,ALT_TEXT,LINK_TEXT,HREF_LANG,NOFOLLOW,UGC,SPONSORED,TARGET,NOOPENER,NOREFERRER,IMAGE_DISPLAY_WIDTH,IMAGE_DISPLAY_HEIGHT,IMAGE_WIDTH_ATTRIBUTE,IMAGE_HEIGHT_ATTRIBUTE
1,2,1,2,//body/div[@id='PageContainer']/div[@id='MainContent']/section[@id='shopify-section-template--25012168327532__image_with_text_overlay_y6P6wk']/div/div/div[2]/div/div/a,1,10,Content,,VER MÁS,,False,False,False,,False,False,-1,-1,-1,-1
1,2,1,2,//body/div[@class='footer-wrapper']/section/div/div/div/footer/div[@class='footer-menu-container']/ul[1]/a[1],1,5,Footer,,INSTAGRAM,,False,False,False,,False,False,-1,-1,-1,-1
1,2,1,2,//body/div[@class='footer-wrapper']/section/div/div/div/footer/div[@class='footer-menu-container']/ul[1]/li[1]/a,1,11,Footer,,LINKEDIN,,False,False,False,,False,False,-1,-1,-1,-1
1,2,1,2,//body/div[@class='footer-wrapper']/section/div/div/div/footer/div[@class='footer-menu-container']/ul[1]/li[3]/a[2],1,12,Footer,,TÉRMINOS & CONDICIONES,,False,False,False,,False,False,-1,-1,-1,-1
1,2,1,2,//body/div[@class='footer-wrapper']/section/div/div/div/footer/div[@class='footer-menu-container']/ul[1]/li[4]/a,1,13,Footer,,POLÍTICA DE PRIVACIDAD,,False,False,False,,False,False,-1,-1,-1,-1
1,2,1,2,//body/div[@class='footer-wrapper']/section/div/div/div/footer/div[@class='footer-menu-container']/ul[2]/li[2]/a,1,9,Footer,,SUSCRIBITE A LA COMUNIDAD,,False,False,False,,False,False,-1,-1,-1,-1
1,2,1,2,//body/div[@class='footer-wrapper']/section/div/div/div/footer/div[@class='footer-menu-container']/ul[2]/li[3]/a,1,14,Footer,,CONTACTO,,False,False,False,,False,False,-1,-1,-1,-1
1,2,1,2,//body/div[@class='footer-wrapper']/section/div/div/div/footer/div[@class='footer-menu-container']/ul[2]/li[4]/a,1,15,Footer,,SEGUIMIENTO DE PEDIDOS,,False,False,False,,False,False,-1,-1,-1,-1
1,2,1,2,//body/div[@class='footer-wrapper']/section/div/div/div/footer/div[@class='footer-menu-container']/ul[2]/li[5]/a,1,16,Footer,,PREGUNTAS FRECUENTES,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,4,//head/script[2],1,17,Head,,,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,5,//head/script[8],1,18,Head,,,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,5,//head/script[9],1,19,Head,,,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,5,//head/script[14],1,20,Head,,,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,5,//head/script[19],1,21,Head,,,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,2,//head/script[26],1,22,Head,,,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,5,//body/safe-load-scripts[@class='hidden'][1]/script,1,23,Content,,,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,5,//body/safe-load-scripts[@class='hidden'][2]/script,1,24,Content,,,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,5,//body/safe-load-scripts[@class='hidden'][3]/script,1,25,Content,,,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,5,//body/safe-load-scripts[@class='hidden'][4]/script,1,26,Content,,,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,5,//body/safe-load-scripts[@class='hidden'][5]/script,1,27,Content,,,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,5,//body/safe-load-scripts[@class='hidden'][6]/script,1,28,Content,,,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,5,//body/div[@id='PageContainer']/div[@id='shopify-section-sections--25012168655212__header']/div/div[@id='NavDrawer']/div/div[@class='mobile-nav--footer']/div/script,1,29,Navigation,,,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,5,//body/div[@id='PageContainer']/div[@id='shopify-section-sections--25012168655212__header']/div/header/div/div[3]/script,1,29,Header,,,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,5,//body/div[@id='PageContainer']/div[@id='shopify-section-sections--25012168655212__header']/div/safe-load-scripts[@class='hidden'][1]/script,1,30,Header,,,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,5,//body/div[@id='PageContainer']/div[@id='shopify-section-sections--25012168655212__header']/div/safe-load-scripts[@class='hidden'][2]/script,1,31,Header,,,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,5,//body/div[@id='PageContainer']/div[@id='MainContent']/section[@id='shopify-section-template--25012168327532__image_with_text_overlay_y6P6wk']/script,1,32,Content,,,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,5,//body/script[1],1,33,Content,,,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,5,//body/script[2],1,34,Content,,,,False,False,False,,False,False,-1,-1,-1,-1
2,1,1,5,//body/script[3],1,35,Content,,,,False,False,False,,False,False,-1,-1,-1,-1
4,1,1,5,//body/div[@id='PageContainer']/div[@id='shopify-section-sections--25012168655212__header']/div/header/div/div[@class='site-header__wrapper__center']/div/h1/a[@class='site-header__logo-image']/div/img,1,36,Header,NITA FC SRL,,,False,False,False,,False,False,-1,-1,120,53
